"unit","n","geoms"
"A1",5,"1015,1001.5,0,1015,1003.5,0,1016.5,1003.5,0,1016.5,1001.5,0,1015,1001.5,0"
"A2",5,"1012.5,1002,0,1012.5,1006,0,1015,1006,0,1015,1002,0,1012.5,1002,0"
"AMI",13,"1019.256,999.771,0,1018.763,999.773,0,1018.74,999.853,-1.06,1015.845,999.893,-1.005,1015.88,1000.234,-0.997,1017.164,1000.248,-1.046,1017.2,1000.64,-1.004,1017.982,1000.624,-0.997,1017.999,1000.234,-1.046,1018.745,1000.206,-1.063,1018.77,1000.276,0,1019.262,1000.253,0,1019.256,999.771,0"
"AP1",2,"1028.483,1079.198,33.609,1029.589,1079.104,33.308"
"C1",5,"1018,1026,13.2,1018,1028,13.2,1020,1028,13.2,1020,1026,13.2,1018,1026,13.2"
"CLIF1",14,"1009.257,1079.659,34.873,1012.08,1079.984,35.12,1014.898,1080.635,35.54,1017.019,1081.46,36.486,1018.908,1082.392,36.35,1020.961,1083.095,37.133,1023.962,1083.717,37.931,1027.514,1084.88,38.143,1028.62,1084.472,36.753,1030.563,1084.935,35.66,1032.759,1085.305,35.749,1034.832,1086.146,36.146,1037.137,1086.4,36.792,1038.856,1086.635,37.329"
"D1",5,"1017.5,1031,16,1017.5,1034,16,1018.5,1034,16,1018.5,1031,16,1017.5,1031,16"
"DEB1",15,"1030.299,1084.819,35.695,1030.559,1082.685,35.199,1029.793,1081.06,34.453,1028.382,1078.864,33.651,1025.468,1077.734,33.945,1024.085,1074.689,32.609,1022.415,1075.175,32.666,1020.397,1074.823,32.587,1019.252,1073.081,32,1017.295,1073.082,32.056,1015.562,1074.596,32.704,1014.419,1076.123,33.373,1013.565,1077.532,34.013,1013.644,1078.804,34.625,1014.564,1080.522,35.576"
"DT1",1,"1019,1000,0"
"DT2",1,"1026.589,1002.256,0.237"
"DT3",1,"1033.309,1014.203,6.15"
"DT4",1,"1016.216,1008.548,1.283"
"DTAP",1,"1034.103,1085.89,36.195"
"E1",5,"1036.5,1017,6.5,1036.5,1019,6.5,1038,1019,6.5,1038,1017,6.5,1036.5,1017,6.5"
"HEART",7,"1017.565,1000.515,-1.5,1017.47,1000.605,-1.5,1017.38,1000.512,-1.5,1017.533,1000.377,-1.5,1017.641,1000.477,-1.5,1017.613,1000.601,-1.5,1017.565,1000.515,-1.5"
"I1012",5,"1008,1011,0,1009,1011,0,1009,1012,0,1008,1012,0,1008,1011,0"
"I1013",5,"1008,1012,0,1009,1012,0,1009,1013,0,1008,1013,0,1008,1012,0"
"I1014",5,"1008,1013,0,1009,1013,0,1009,1014,0,1008,1014,0,1008,1013,0"
"I1015",5,"1008,1014,0,1009,1014,0,1009,1015,0,1008,1015,0,1008,1014,0"
"II",13,"1008,1015,0,1015,1015,0,1015,1013,0,1012,1013,0,1012,1012,0,1011,1012,0,1011,1011,0,1010,1011,0,1010,1013,0,1009,1013,0,1009,1011,0,1008,1011,0,1008,1015,0"
"J1014",5,"1009,1013,0,1010,1013,0,1010,1014,0,1009,1014,0,1009,1013,0"
"J1015",5,"1009,1014,0,1010,1014,0,1010,1015,0,1009,1015,0,1009,1014,0"
"K1012",5,"1010,1011,0,1011,1011,0,1011,1012,0,1010,1012,0,1010,1011,0"
"K1013",5,"1010,1012,0,1011,1012,0,1011,1013,0,1010,1013,0,1010,1012,0"
"K1014",5,"1010,1013,0,1011,1013,0,1011,1014,0,1010,1014,0,1010,1013,0"
"K1015",5,"1010,1014,0,1011,1014,0,1011,1015,0,1010,1015,0,1010,1014,0"
"L1013",5,"1011,1012,0,1012,1012,0,1012,1013,0,1011,1013,0,1011,1012,0"
"L1014",5,"1011,1013,0,1012,1013,0,1012,1014,0,1011,1014,0,1011,1013,0"
"L1015",5,"1011,1014,0,1012,1014,0,1012,1015,0,1011,1015,0,1011,1014,0"
"M1014",5,"1012,1013,0,1013,1013,0,1013,1014,0,1012,1014,0,1012,1013,0"
"M1015",5,"1012,1014,0,1013,1014,0,1013,1015,0,1012,1015,0,1012,1014,0"
"MLS1",1,"1054.112,1031.415,12.365"
"MLS2",1,"1028.879,1044.174,19.602"
"MLS3",1,"1029.478,1049.482,22.051"
"MLS4",1,"1030.154,1053.134,23.682"
"N1014",5,"1013,1013,0,1014,1013,0,1014,1014,0,1013,1014,0,1013,1013,0"
"N1015",5,"1013,1014,0,1014,1014,0,1014,1015,0,1013,1015,0,1013,1014,0"
"NORTH",2,"1026.602,1002.261,100,1034.539,1003.241,100"
"O1014",5,"1014,1013,0,1015,1013,0,1015,1014,0,1014,1014,0,1014,1013,0"
"O1015",5,"1014,1014,0,1015,1014,0,1015,1015,0,1014,1015,0,1014,1014,0"
"RL2",21,"1029.997,1042.405,18.696,1029.974,1042.018,18.57,1029.978,1041.551,18.352,1029.97,1041.271,18.17,1029.936,1040.849,17.974,1029.913,1040.48,17.831,1029.931,1039.986,17.783,1029.964,1039.439,17.687,1029.941,1038.967,17.69,1029.885,1038.374,17.519,1029.882,1037.756,17.2,1029.719,1037.198,16.974,1029.773,1036.717,16.613,1029.6,1036.322,16.497,1029.599,1035.855,16.308,1029.589,1035.529,16.13,1029.363,1035.039,15.446,1029.481,1034.025,14.695,1029.41,1033.523,14.483,1029.341,1033.171,14.287,1029.334,1032.496,13.957"
"RL3",58,"1029.508,1034.235,14.675,1029.506,1033.335,14.234,1029.477,1032.602,13.893,1029.402,1032.207,13.721,1029.367,1031.628,13.412,1029.332,1031.043,13.089,1029.214,1030.58,12.832,1029.141,1030.112,12.603,1029.12,1029.688,12.353,1029.032,1029.203,12.108,1028.953,1028.138,11.759,1028.844,1027.606,11.578,1028.701,1026.142,11.075,1028.558,1025.373,10.884,1028.532,1024.79,10.754,1028.433,1024.158,10.616,1028.343,1023.481,10.289,1028.286,1022.905,10.092,1028.198,1022.302,9.9,1028.109,1021.809,9.69,1028.061,1021.325,9.415,1027.944,1020.703,9.09,1027.793,1019.66,8.354,1027.635,1018.488,7.698,1027.487,1018.001,7.31,1027.454,1017.526,7.038,1027.43,1017.116,6.918,1027.401,1016.598,6.761,1027.333,1016.078,6.588,1027.249,1015.559,6.48,1027.2,1015.153,6.388,1027.117,1014.654,6.298,1027.096,1014.142,6.097,1026.985,1013.705,5.879,1026.996,1013.418,5.774,1026.927,1012.628,5.45,1026.886,1012.28,5.196,1026.853,1011.877,4.798,1026.759,1011.656,4.643,1026.623,1010.656,3.945,1026.547,1010.208,3.688,1026.458,1009.836,3.469,1026.369,1009.448,3.219,1026.349,1009.018,2.97,1026.283,1008.569,2.691,1026.205,1008.087,2.355,1026.177,1007.68,2.065,1026.19,1007.289,1.776,1026.149,1006.817,1.514,1026.015,1006.412,1.264,1025.983,1006.093,1.129,1025.872,1005.561,0.782,1025.78,1005.041,0.513,1025.786,1004.547,0.269,1025.771,1004.055,0.109,1025.45,1002.152,0.117,1025.37,1001.595,0.05,1025.205,1000.927,-0.213"
"RLINE",91,"1032.224,1084.513,35.534,1032.194,1084.07,35.489,1032.202,1083.587,35.351,1032.149,1083.08,35.145,1032.145,1082.578,35.06,1032.134,1082.115,34.945,1032.129,1081.626,34.73,1032.118,1081.194,34.479,1032.101,1080.84,34.312,1032.105,1080.425,34.183,1032.064,1079.903,34.089,1032.053,1079.424,34.033,1032.08,1078.975,34.005,1032.053,1078.491,33.927,1032.038,1078.077,33.862,1032.031,1077.557,33.919,1032.032,1077.079,33.876,1032.009,1076.609,33.815,1031.951,1076.112,33.707,1031.968,1075.66,33.608,1031.961,1075.252,33.489,1031.928,1074.724,33.261,1031.903,1074.366,33.089,1031.867,1073.932,32.863,1031.807,1073.519,32.584,1031.767,1073.123,32.367,1031.732,1072.713,32.206,1031.669,1072.299,32.057,1031.686,1071.9,31.735,1031.662,1071.588,31.512,1031.659,1071.138,31.261,1031.559,1070.645,30.97,1031.579,1070.245,30.75,1031.441,1069.283,30.492,1031.467,1069.266,30.43,1031.414,1068.812,30.368,1031.391,1068.305,30.15,1031.373,1067.861,29.971,1031.275,1067.445,29.699,1031.191,1067.035,29.434,1031.211,1066.209,28.999,1031.18,1065.801,28.818,1031.14,1065.348,28.595,1031.097,1064.93,28.403,1031.071,1063.427,27.826,1030.97,1062.862,27.612,1030.852,1062.368,27.472,1030.793,1061.847,27.302,1030.702,1061.37,27.191,1030.792,1060.902,27.012,1030.784,1060.454,26.782,1030.715,1060.054,26.551,1030.698,1059.561,26.291,1030.622,1059.131,26.017,1030.586,1058.708,25.794,1030.55,1058.294,25.605,1030.496,1057.836,25.518,1030.457,1057.454,25.368,1030.437,1057.05,25.209,1030.426,1056.645,25.083,1030.408,1056.27,24.883,1030.37,1055.95,24.721,1030.316,1055.558,24.649,1030.407,1055.044,24.489,1030.347,1054.524,24.246,1030.253,1054.013,24.077,1030.117,1053.419,23.723,1030.022,1052.699,23.456,1029.862,1051.969,23.21,1030.518,1051.471,22.89,1030.356,1050.988,22.678,1030.307,1050.561,22.486,1030.258,1050.078,22.321,1030.222,1049.673,22.151,1030.208,1049.258,21.907,1030.161,1048.848,21.677,1030.127,1048.478,21.477,1030.128,1048.11,21.303,1030.14,1047.731,21.147,1030.131,1047.294,20.969,1030.122,1046.888,20.817,1030.114,1046.523,20.687,1030.091,1046.077,20.505,1030.055,1045.677,20.288,1030.034,1045.335,20.111,1030.073,1045.156,20.013,1030.175,1044.411,19.624,1030.106,1044.008,19.415,1030.07,1043.527,19.146,1030.031,1043.137,18.975,1030.036,1042.801,18.848"
"ROAD1",2,"1003.72,994.663,-3.564,1032.48,994.062,-3.454"
"ROAD2",2,"1003.748,990.227,-3.616,1032.634,989.427,-3.502"
"RS1",1,"1025.267,1000.994,-0.149"
"RS2",5,"1029.443,1075.003,33.401,1027.532,1079.272,34.086,1034.072,1081.43,35.005,1036.2,1076.977,33.797,1029.443,1075.003,33.401"
"RS3",2,"1011.031,1076.948,34.199,999.854,1078.101,34.851"
"S1",10,"1028.033,1078.445,33.583,1027.883,1077.286,33.382,1027.864,1076.184,33.369,1028.838,1075.91,33.46,1029.716,1076.253,33.365,1030.47,1077.401,33.549,1030.331,1078.58,33.465,1029.611,1079.299,33.554,1028.527,1079.07,33.717,1028.033,1078.445,33.583"
"S2",9,"1032.399,1080.465,34.182,1032.375,1079.293,33.953,1032.674,1078.192,33.772,1034.533,1077.601,33.689,1036.533,1078.844,33.773,1035.094,1079.878,34.075,1033.917,1080.516,34.155,1032.543,1080.519,34.173,1032.399,1080.465,34.182"
"SOND",5,"1031,1078.5,33.856,1031,1080,34.183,1029.5,1080,33.864,1029.5,1078.5,33.587,1031,1078.5,33.856"
"TA1",2,"1013.361,1005.053,-0.445,1013.017,1005.346,-0.261"
"TA2",6,"1010.719,1011.843,0.915,1011.089,1012.614,0.923,1011.769,1012.944,0.974,1012.18,1013.521,1.137,1013.493,1013.548,0.972,1014.059,1013.599,0.871"
"TA3",28,"1019.542,1000.346,-1.179,1019.849,1001.487,-0.964,1020.731,1002.239,-0.674,1021.516,1003.084,-0.496,1021.635,1004.496,-0.177,1021.815,1005.56,0.341,1021.107,1007.814,1.656,1019.746,1010.247,2.856,1020.037,1011.507,3.679,1019.268,1013.01,4.808,1018.319,1015.863,6.395,1018.332,1017.855,7.157,1018.455,1020.118,8.906,1018.111,1022.353,9.693,1017.924,1024.257,10.253,1018.437,1025.886,11.144,1018.404,1027.83,12.207,1017.864,1028.207,13.341,1017.537,1029.417,13.932,1017.714,1030.551,14.685,1017.818,1032.434,15.284,1017.84,1034.921,16.423,1017.382,1036.554,17.088,1015.816,1036.632,17.048,1015.227,1034.795,16.223,1015.101,1032.236,15.486,1014.569,1030.082,14.699,1014.356,1027.429,13.825"
